id,experiment,model,disease,variable,tag,score,ranking
407,h-05-single-answer-2-confidence,gpt-4o-mini,cchf,rainfall,1.0,1.0,1
221,h-05-single-answer-2-confidence,gpt-4o-mini,cchf,rainfall,1.0,1.0,2
441,h-05-single-answer-2-confidence,gpt-4o-mini,cchf,rainfall,1.0,1.0,3
80,h-05-single-answer-2-confidence,gpt-4o-mini,cchf,rainfall,1.0,1.0,4
178,h-05-single-answer-2-confidence,gpt-4o-mini,cchf,rainfall,1.0,1.0,5
19,h-05-single-answer-2-confidence,gpt-4o-mini,cchf,rainfall,1.0,1.0,6
20,h-05-single-answer-2-confidence,gpt-4o-mini,cchf,rainfall,1.0,1.0,7
285,h-05-single-answer-2-confidence,gpt-4o-mini,cchf,rainfall,1.0,1.0,8
57,h-05-single-answer-2-confidence,gpt-4o-mini,cchf,rainfall,1.0,1.0,9
346,h-05-single-answer-2-confidence,gpt-4o-mini,cchf,rainfall,1.0,1.0,10
37,h-05-single-answer-2-confidence,gpt-4o-mini,cchf,rainfall,1.0,0.9375,11
349,h-05-single-answer-2-confidence,gpt-4o-mini,cchf,rainfall,1.0,0.9375,12
370,h-05-single-answer-2-confidence,gpt-4o-mini,cchf,rainfall,1.0,0.9375,13
265,h-05-single-answer-2-confidence,gpt-4o-mini,cchf,rainfall,1.0,0.9375,14
321,h-05-single-answer-2-confidence,gpt-4o-mini,cchf,rainfall,0.0,0.8125,15
389,h-05-single-answer-2-confidence,gpt-4o-mini,cchf,rainfall,1.0,0.8125,16
436,h-05-single-answer-2-confidence,gpt-4o-mini,cchf,rainfall,1.0,0.8125,17
119,h-05-single-answer-2-confidence,gpt-4o-mini,cchf,rainfall,1.0,0.8125,18
88,h-05-single-answer-2-confidence,gpt-4o-mini,cchf,rainfall,1.0,0.8125,19
104,h-05-single-answer-2-confidence,gpt-4o-mini,cchf,rainfall,1.0,0.8125,20
254,h-05-single-answer-2-confidence,gpt-4o-mini,cchf,rainfall,0.0,0.8125,21
384,h-05-single-answer-2-confidence,gpt-4o-mini,cchf,rainfall,1.0,0.8125,22
15,h-05-single-answer-2-confidence,gpt-4o-mini,cchf,rainfall,1.0,0.8125,23
108,h-05-single-answer-2-confidence,gpt-4o-mini,cchf,rainfall,1.0,0.8125,24
29,h-05-single-answer-2-confidence,gpt-4o-mini,cchf,rainfall,1.0,0.8125,25
163,h-05-single-answer-2-confidence,gpt-4o-mini,cchf,rainfall,1.0,0.8125,26
172,h-05-single-answer-2-confidence,gpt-4o-mini,cchf,rainfall,1.0,0.8125,27
394,h-05-single-answer-2-confidence,gpt-4o-mini,cchf,rainfall,1.0,0.8125,28
410,h-05-single-answer-2-confidence,gpt-4o-mini,cchf,rainfall,1.0,0.8125,29
107,h-05-single-answer-2-confidence,gpt-4o-mini,cchf,rainfall,1.0,0.8125,30
157,h-05-single-answer-2-confidence,gpt-4o-mini,cchf,rainfall,1.0,0.8125,31
243,h-05-single-answer-2-confidence,gpt-4o-mini,cchf,rainfall,1.0,0.75,32
240,h-05-single-answer-2-confidence,gpt-4o-mini,cchf,rainfall,1.0,0.75,33
298,h-05-single-answer-2-confidence,gpt-4o-mini,cchf,rainfall,0.0,0.75,34
297,h-05-single-answer-2-confidence,gpt-4o-mini,cchf,rainfall,0.0,0.75,35
141,h-05-single-answer-2-confidence,gpt-4o-mini,cchf,rainfall,1.0,0.75,36
12,h-05-single-answer-2-confidence,gpt-4o-mini,cchf,rainfall,0.0,0.75,37
411,h-05-single-answer-2-confidence,gpt-4o-mini,cchf,rainfall,0.0,0.75,38
120,h-05-single-answer-2-confidence,gpt-4o-mini,cchf,rainfall,1.0,0.75,39
331,h-05-single-answer-2-confidence,gpt-4o-mini,cchf,rainfall,0.0,0.75,40
