id,experiment,model,disease,variable,tag,score,ranking
441,h-05-single-answer-4,gpt-4o-mini,cchf,rainfall,1.0,0.95,1
20,h-05-single-answer-4,gpt-4o-mini,cchf,rainfall,1.0,0.95,2
285,h-05-single-answer-4,gpt-4o-mini,cchf,rainfall,1.0,0.95,3
407,h-05-single-answer-4,gpt-4o-mini,cchf,rainfall,1.0,0.8999999999999999,4
243,h-05-single-answer-4,gpt-4o-mini,cchf,rainfall,1.0,0.8999999999999999,5
240,h-05-single-answer-4,gpt-4o-mini,cchf,rainfall,1.0,0.8999999999999999,6
321,h-05-single-answer-4,gpt-4o-mini,cchf,rainfall,0.0,0.8999999999999999,7
37,h-05-single-answer-4,gpt-4o-mini,cchf,rainfall,1.0,0.8999999999999999,8
221,h-05-single-answer-4,gpt-4o-mini,cchf,rainfall,1.0,0.8999999999999999,9
436,h-05-single-answer-4,gpt-4o-mini,cchf,rainfall,1.0,0.8999999999999999,10
31,h-05-single-answer-4,gpt-4o-mini,cchf,rainfall,1.0,0.8999999999999999,11
104,h-05-single-answer-4,gpt-4o-mini,cchf,rainfall,1.0,0.8999999999999999,12
80,h-05-single-answer-4,gpt-4o-mini,cchf,rainfall,1.0,0.8999999999999999,13
254,h-05-single-answer-4,gpt-4o-mini,cchf,rainfall,0.0,0.8999999999999999,14
178,h-05-single-answer-4,gpt-4o-mini,cchf,rainfall,1.0,0.8999999999999999,15
438,h-05-single-answer-4,gpt-4o-mini,cchf,rainfall,1.0,0.8999999999999999,16
384,h-05-single-answer-4,gpt-4o-mini,cchf,rainfall,1.0,0.8999999999999999,17
397,h-05-single-answer-4,gpt-4o-mini,cchf,rainfall,1.0,0.8999999999999999,18
19,h-05-single-answer-4,gpt-4o-mini,cchf,rainfall,1.0,0.8999999999999999,19
349,h-05-single-answer-4,gpt-4o-mini,cchf,rainfall,1.0,0.8999999999999999,20
15,h-05-single-answer-4,gpt-4o-mini,cchf,rainfall,1.0,0.8999999999999999,21
370,h-05-single-answer-4,gpt-4o-mini,cchf,rainfall,1.0,0.8999999999999999,22
108,h-05-single-answer-4,gpt-4o-mini,cchf,rainfall,1.0,0.8999999999999999,23
346,h-05-single-answer-4,gpt-4o-mini,cchf,rainfall,1.0,0.8999999999999999,24
394,h-05-single-answer-4,gpt-4o-mini,cchf,rainfall,1.0,0.8999999999999999,25
410,h-05-single-answer-4,gpt-4o-mini,cchf,rainfall,1.0,0.8999999999999999,26
265,h-05-single-answer-4,gpt-4o-mini,cchf,rainfall,1.0,0.8999999999999999,27
157,h-05-single-answer-4,gpt-4o-mini,cchf,rainfall,1.0,0.8999999999999999,28
39,h-05-single-answer-4,gpt-4o-mini,cchf,rainfall,1.0,0.8500000000000001,29
308,h-05-single-answer-4,gpt-4o-mini,cchf,rainfall,1.0,0.8500000000000001,30
87,h-05-single-answer-4,gpt-4o-mini,cchf,rainfall,1.0,0.8500000000000001,31
263,h-05-single-answer-4,gpt-4o-mini,cchf,rainfall,1.0,0.8500000000000001,32
29,h-05-single-answer-4,gpt-4o-mini,cchf,rainfall,1.0,0.8500000000000001,33
57,h-05-single-answer-4,gpt-4o-mini,cchf,rainfall,1.0,0.8500000000000001,34
163,h-05-single-answer-4,gpt-4o-mini,cchf,rainfall,1.0,0.8500000000000001,35
411,h-05-single-answer-4,gpt-4o-mini,cchf,rainfall,0.0,0.7749999999999999,36
389,h-05-single-answer-4,gpt-4o-mini,cchf,rainfall,1.0,0.7749999999999999,37
320,h-05-single-answer-4,gpt-4o-mini,cchf,rainfall,1.0,0.7749999999999999,38
230,h-05-single-answer-4,gpt-4o-mini,cchf,rainfall,0.0,0.7749999999999999,39
86,h-05-single-answer-4,gpt-4o-mini,cchf,rainfall,1.0,0.7749999999999999,40
2,h-05-single-answer-4,gpt-4o-mini,cchf,rainfall,0.0,0.7749999999999999,41
433,h-05-single-answer-4,gpt-4o-mini,cchf,rainfall,0.0,0.7749999999999999,42
32,h-05-single-answer-4,gpt-4o-mini,cchf,rainfall,0.0,0.7749999999999999,43
298,h-05-single-answer-4,gpt-4o-mini,cchf,rainfall,0.0,0.725,44
297,h-05-single-answer-4,gpt-4o-mini,cchf,rainfall,0.0,0.725,45
12,h-05-single-answer-4,gpt-4o-mini,cchf,rainfall,0.0,0.725,46
120,h-05-single-answer-4,gpt-4o-mini,cchf,rainfall,1.0,0.725,47
331,h-05-single-answer-4,gpt-4o-mini,cchf,rainfall,0.0,0.725,48
118,h-05-single-answer-4,gpt-4o-mini,cchf,rainfall,1.0,0.725,49
54,h-05-single-answer-4,gpt-4o-mini,cchf,rainfall,0.0,0.725,50
200,h-05-single-answer-4,gpt-4o-mini,cchf,rainfall,0.0,0.725,51
21,h-05-single-answer-4,gpt-4o-mini,cchf,rainfall,0.0,0.725,52
70,h-05-single-answer-4,gpt-4o-mini,cchf,rainfall,0.0,0.725,53
220,h-05-single-answer-4,gpt-4o-mini,cchf,rainfall,1.0,0.725,54
444,h-05-single-answer-4,gpt-4o-mini,cchf,rainfall,0.0,0.725,55
288,h-05-single-answer-4,gpt-4o-mini,cchf,rainfall,0.0,0.725,56
119,h-05-single-answer-4,gpt-4o-mini,cchf,rainfall,1.0,0.725,57
28,h-05-single-answer-4,gpt-4o-mini,cchf,rainfall,0.0,0.725,58
161,h-05-single-answer-4,gpt-4o-mini,cchf,rainfall,0.0,0.725,59
88,h-05-single-answer-4,gpt-4o-mini,cchf,rainfall,1.0,0.725,60
132,h-05-single-answer-4,gpt-4o-mini,cchf,rainfall,1.0,0.725,61
167,h-05-single-answer-4,gpt-4o-mini,cchf,rainfall,1.0,0.725,62
278,h-05-single-answer-4,gpt-4o-mini,cchf,rainfall,0.0,0.725,63
89,h-05-single-answer-4,gpt-4o-mini,cchf,rainfall,1.0,0.725,64
185,h-05-single-answer-4,gpt-4o-mini,cchf,rainfall,0.0,0.725,65
117,h-05-single-answer-4,gpt-4o-mini,cchf,rainfall,1.0,0.725,66
43,h-05-single-answer-4,gpt-4o-mini,cchf,rainfall,0.0,0.725,67
393,h-05-single-answer-4,gpt-4o-mini,cchf,rainfall,0.0,0.725,68
216,h-05-single-answer-4,gpt-4o-mini,cchf,rainfall,0.0,0.725,69
361,h-05-single-answer-4,gpt-4o-mini,cchf,rainfall,0.0,0.725,70
151,h-05-single-answer-4,gpt-4o-mini,cchf,rainfall,0.0,0.725,71
1,h-05-single-answer-4,gpt-4o-mini,cchf,rainfall,0.0,0.725,72
281,h-05-single-answer-4,gpt-4o-mini,cchf,rainfall,0.0,0.725,73
256,h-05-single-answer-4,gpt-4o-mini,cchf,rainfall,0.0,0.725,74
356,h-05-single-answer-4,gpt-4o-mini,cchf,rainfall,0.0,0.725,75
246,h-05-single-answer-4,gpt-4o-mini,cchf,rainfall,0.0,0.725,76
172,h-05-single-answer-4,gpt-4o-mini,cchf,rainfall,1.0,0.725,77
164,h-05-single-answer-4,gpt-4o-mini,cchf,rainfall,0.0,0.725,78
449,h-05-single-answer-4,gpt-4o-mini,cchf,rainfall,0.0,0.725,79
79,h-05-single-answer-4,gpt-4o-mini,cchf,rainfall,0.0,0.725,80
107,h-05-single-answer-4,gpt-4o-mini,cchf,rainfall,1.0,0.725,81
396,h-05-single-answer-4,gpt-4o-mini,cchf,rainfall,0.0,0.725,82
126,h-05-single-answer-4,gpt-4o-mini,cchf,rainfall,0.0,0.725,83
408,h-05-single-answer-4,gpt-4o-mini,cchf,rainfall,0.0,0.725,84
174,h-05-single-answer-4,gpt-4o-mini,cchf,rainfall,1.0,0.675,85
141,h-05-single-answer-4,gpt-4o-mini,cchf,rainfall,1.0,0.675,86
239,h-05-single-answer-4,gpt-4o-mini,cchf,rainfall,0.0,0.675,87
279,h-05-single-answer-4,gpt-4o-mini,cchf,rainfall,0.0,0.675,88
125,h-05-single-answer-4,gpt-4o-mini,cchf,rainfall,0.0,0.675,89
9,h-05-single-answer-4,gpt-4o-mini,cchf,rainfall,0.0,0.675,90
190,h-05-single-answer-4,gpt-4o-mini,cchf,rainfall,0.0,0.675,91
442,h-05-single-answer-4,gpt-4o-mini,cchf,rainfall,0.0,0.675,92
326,h-05-single-answer-4,gpt-4o-mini,cchf,rainfall,0.0,0.675,93
291,h-05-single-answer-4,gpt-4o-mini,cchf,rainfall,0.0,0.675,94
412,h-05-single-answer-4,gpt-4o-mini,cchf,rainfall,0.0,0.675,95
292,h-05-single-answer-4,gpt-4o-mini,cchf,rainfall,0.0,0.675,96
282,h-05-single-answer-4,gpt-4o-mini,cchf,rainfall,0.0,0.675,97
199,h-05-single-answer-4,gpt-4o-mini,cchf,rainfall,0.0,0.675,98
109,h-05-single-answer-4,gpt-4o-mini,cchf,rainfall,0.0,0.675,99
274,h-05-single-answer-4,gpt-4o-mini,cchf,rainfall,0.0,0.675,100
8,h-05-single-answer-4,gpt-4o-mini,cchf,rainfall,0.0,0.675,101
42,h-05-single-answer-4,gpt-4o-mini,cchf,rainfall,0.0,0.675,102
6,h-05-single-answer-4,gpt-4o-mini,cchf,rainfall,0.0,0.675,103
38,h-05-single-answer-4,gpt-4o-mini,cchf,rainfall,0.0,0.675,104
347,h-05-single-answer-4,gpt-4o-mini,cchf,rainfall,0.0,0.675,105
196,h-05-single-answer-4,gpt-4o-mini,cchf,rainfall,0.0,0.675,106
53,h-05-single-answer-4,gpt-4o-mini,cchf,rainfall,0.0,0.675,107
344,h-05-single-answer-4,gpt-4o-mini,cchf,rainfall,0.0,0.675,108
262,h-05-single-answer-4,gpt-4o-mini,cchf,rainfall,0.0,0.675,109
327,h-05-single-answer-4,gpt-4o-mini,cchf,rainfall,1.0,0.675,110
18,h-05-single-answer-4,gpt-4o-mini,cchf,rainfall,0.0,0.675,111
312,h-05-single-answer-4,gpt-4o-mini,cchf,rainfall,1.0,0.675,112
374,h-05-single-answer-4,gpt-4o-mini,cchf,rainfall,0.0,0.675,113
106,h-05-single-answer-4,gpt-4o-mini,cchf,rainfall,0.0,0.675,114
144,h-05-single-answer-4,gpt-4o-mini,cchf,rainfall,1.0,0.675,115
168,h-05-single-answer-4,gpt-4o-mini,cchf,rainfall,0.0,0.675,116
333,h-05-single-answer-4,gpt-4o-mini,cchf,rainfall,0.0,0.675,117
128,h-05-single-answer-4,gpt-4o-mini,cchf,rainfall,0.0,0.675,118
424,h-05-single-answer-4,gpt-4o-mini,cchf,rainfall,0.0,0.625,119
264,h-05-single-answer-4,gpt-4o-mini,cchf,rainfall,1.0,0.6,120
343,h-05-single-answer-4,gpt-4o-mini,cchf,rainfall,1.0,0.6,121
101,h-05-single-answer-4,gpt-4o-mini,cchf,rainfall,1.0,0.6,122
222,h-05-single-answer-4,gpt-4o-mini,cchf,rainfall,0.0,0.55,123
303,h-05-single-answer-4,gpt-4o-mini,cchf,rainfall,0.0,0.55,124
205,h-05-single-answer-4,gpt-4o-mini,cchf,rainfall,0.0,0.55,125
401,h-05-single-answer-4,gpt-4o-mini,cchf,rainfall,0.0,0.55,126
27,h-05-single-answer-4,gpt-4o-mini,cchf,rainfall,0.0,0.55,127
307,h-05-single-answer-4,gpt-4o-mini,cchf,rainfall,0.0,0.55,128
25,h-05-single-answer-4,gpt-4o-mini,cchf,rainfall,0.0,0.55,129
284,h-05-single-answer-4,gpt-4o-mini,cchf,rainfall,0.0,0.55,130
245,h-05-single-answer-4,gpt-4o-mini,cchf,rainfall,0.0,0.55,131
46,h-05-single-answer-4,gpt-4o-mini,cchf,rainfall,0.0,0.55,132
286,h-05-single-answer-4,gpt-4o-mini,cchf,rainfall,0.0,0.55,133
352,h-05-single-answer-4,gpt-4o-mini,cchf,rainfall,0.0,0.55,134
345,h-05-single-answer-4,gpt-4o-mini,cchf,rainfall,0.0,0.55,135
36,h-05-single-answer-4,gpt-4o-mini,cchf,rainfall,0.0,0.55,136
